,anime_id,score,user_id
0,120377,90,6136704
1,158927,90,6136704
2,161964,90,6136704
3,155211,90,6136704
4,101759,90,6136704
5,129874,90,6136704
6,136430,90,6136704
7,101922,90,6136704
8,20958,90,6136704
9,110277,90,6136704
10,101921,90,6136704
11,97940,90,6136704
12,105333,90,6136704
13,20623,90,6136704
14,140960,90,6136704
15,127230,90,6136704
16,120120,90,6136704
17,112641,90,6136704
18,131681,90,6136704
19,13601,90,6136704
20,20474,90,6136704
21,131573,90,6136704
22,102883,90,6136704
23,20661,90,6136704
24,142838,90,6136704
25,142876,80,6136704
26,16498,80,6136704
27,113415,80,6136704
28,21087,80,6136704
29,100166,80,6136704
30,21355,80,6136704
31,104276,80,6136704
32,101348,80,6136704
33,1,80,6136704
34,20920,80,6136704
35,20832,80,6136704
36,10087,80,6136704
37,108632,80,6136704
38,113936,80,6136704
39,21450,80,6136704
40,21518,80,6136704
41,98437,80,6136704
42,1689,80,6136704
43,21679,80,6136704
44,101167,80,6136704
45,101474,80,6136704
46,103223,80,6136704
47,141391,80,6136704
48,112124,80,6136704
49,20722,80,6136704
50,21459,70,6136704
51,20605,70,6136704
52,21856,70,6136704
53,21,70,6136704
54,124080,70,6136704
55,98314,70,6136704
56,20923,70,6136704
57,21311,70,6136704
58,15809,70,6136704
59,98659,70,6136704
60,6702,70,6136704
61,132405,70,6136704
62,918,70,6136704
63,119661,70,6136704
64,100876,70,6136704
65,99255,70,6136704
66,145545,70,6136704
67,21595,70,6136704
68,20626,70,6136704
69,1210,70,6136704
70,109963,70,6136704
71,100773,70,6136704
72,131942,70,6136704
73,116673,70,6136704
74,146722,70,6136704
75,1535,100,6136704
76,11061,100,6136704
77,21519,100,6136704
78,20954,100,6136704
79,21234,100,6136704
80,20464,100,6136704
81,9253,100,6136704
82,20931,100,6136704
83,1575,100,6136704
84,20992,100,6136704
85,21698,100,6136704
86,2904,100,6136704
87,19,100,6136704
88,20799,100,6136704
89,21127,100,6136704
90,98478,100,6136704
91,142770,100,6136704
92,7674,100,6136704
93,20972,100,6136704
94,10030,100,6136704
95,12365,100,6136704
96,12859,100,6136704
97,97986,95,6136704
98,114745,95,6136704
99,199,95,6136704
100,21366,95,6136704
101,163263,95,6136704
102,5114,95,6136704
103,99147,95,6136704
104,104578,95,6136704
105,142329,95,6136704
106,115230,95,6136704
107,145064,95,6136704
108,125367,95,6136704
109,130298,95,6136704
110,130003,95,6136704
111,146984,95,6136704
112,154587,95,6136704
113,151384,95,6136704
114,21202,85,6136704
115,21699,85,6136704
116,145139,85,6136704
117,137822,85,6136704
118,102976,85,6136704
119,110349,85,6136704
120,131518,85,6136704
121,151806,85,6136704
122,129196,85,6136704
123,129190,85,6136704
124,146850,85,6136704
125,146638,85,6136704
126,150672,85,6136704
127,20513,50,6136704
128,459,50,6136704
129,460,50,6136704
130,462,50,6136704
131,461,50,6136704
132,463,50,6136704
133,465,50,6136704
134,2107,50,6136704
135,3848,50,6136704
136,14719,60,6136704
137,20850,60,6136704
138,117193,60,6136704
139,105334,60,6136704
140,130592,60,6136704
141,21377,60,6136704
142,7647,60,6136704
143,153360,60,6136704
144,21507,75,6136704
145,113813,75,6136704
146,133965,75,6136704
147,11741,75,6136704
148,151801,75,6136704
149,157198,75,6136704
150,154745,75,6136704
151,112301,40,6136704
152,17265,40,6136704
153,103139,40,6136704
154,20671,40,6136704
155,464,40,6136704
156,11757,10,6136704
157,20594,10,6136704
158,269,65,6136704
159,124410,65,6136704
